央视频道,#genre#
CCTV1,http://117.133.95.38:8887/rtp/228.1.1.28:8008
CCTV2,http://117.133.95.38:8887/rtp/228.1.1.24:8084
CCTV3,http://117.133.95.38:8887/rtp/228.1.1.191:8002
CCTV4,http://117.133.95.38:8887/rtp/228.1.1.203:4220
CCTV4,http://117.133.95.38:8887/rtp/228.1.1.213:4220
CCTV4,http://117.133.95.38:8887/rtp/228.1.1.25:8092
CCTV5,http://117.133.95.38:8887/rtp/228.1.1.192:8002
CCTV5+,http://117.133.95.38:8887/rtp/228.1.1.23:8004
CCTV6,http://117.133.95.38:8887/rtp/228.1.1.193:8002
CCTV7,http://117.133.95.38:8887/rtp/228.1.1.26:8104
CCTV8,http://117.133.95.38:8887/rtp/228.1.1.194:8002
CCTV9,http://117.133.95.38:8887/rtp/228.1.1.27:8112
CCTV10,http://117.133.95.38:8887/rtp/228.1.1.29:8116
CCTV11,http://117.133.95.38:8887/rtp/228.1.1.182:8120
CCTV12,http://117.133.95.38:8887/rtp/228.1.1.30:8124
CCTV13,http://117.133.95.38:8887/rtp/228.1.1.212:8128
CCTV14,http://117.133.95.38:8887/rtp/228.1.1.31:8132
CCTV15,http://117.133.95.38:8887/rtp/228.1.1.183:8136
CCTV17,http://117.133.95.38:8887/rtp/228.1.1.181:8144

卫视频道,#genre#
湖南卫视,http://117.133.95.38:8887/rtp/228.1.1.33:8012
浙江卫视,http://117.133.95.38:8887/rtp/228.1.1.13:8036
江苏卫视,http://117.133.95.38:8887/rtp/228.1.1.37:8028
北京卫视,http://117.133.95.38:8887/rtp/228.1.1.115:8000
东方卫视,http://117.133.95.38:8887/rtp/228.1.1.39:8032
安徽卫视,http://117.133.95.38:8887/rtp/228.1.1.21:8064
广东卫视,http://117.133.95.38:8887/rtp/228.1.1.17:8048
深圳卫视,http://117.133.95.38:8887/rtp/228.1.1.36:8020
辽宁卫视,http://117.133.95.38:8887/rtp/228.1.1.19:8056
山东卫视,http://117.133.95.38:8887/rtp/228.1.1.18:8052
天津卫视,http://117.133.95.38:8887/rtp/228.1.1.15:1234
重庆卫视,http://117.133.95.38:8887/rtp/228.1.1.210:8160
东南卫视,http://117.133.95.38:8887/rtp/228.1.1.185:8148
贵州卫视,http://117.133.95.38:8887/rtp/228.1.1.188:8076
河北卫视,http://117.133.95.38:8887/rtp/228.1.1.187:8072
黑龙江卫视,http://117.133.95.38:8887/rtp/228.1.1.35:8016
湖北卫视,http://117.133.95.38:8887/rtp/228.1.1.16:8044
江西卫视,http://117.133.95.38:8887/rtp/228.1.1.211:8164
吉林卫视,http://117.133.95.38:8887/rtp/228.1.1.214:8172
卡酷动画,http://117.133.95.38:8887/rtp/228.1.1.195:8000

国教频道,#genre#
中国教育1,http://117.133.95.38:8887/rtp/228.1.1.32:8152
CGTN,http://117.133.95.38:8887/rtp/228.1.1.204:4220
CGTN,http://117.133.95.38:8887/rtp/228.1.1.205:4220
CGTN,http://117.133.95.38:8887/rtp/228.1.1.206:4220
CGTN,http://117.133.95.38:8887/rtp/228.1.1.207:4220
CGTN,http://117.133.95.38:8887/rtp/228.1.1.208:4220
CGTN,http://117.133.95.38:8887/rtp/228.1.1.209:4220

数字频道,#genre#
茶频道,http://117.133.95.38:8887/rtp/228.1.1.145:8002
快乐垂钓,http://117.133.95.38:8887/rtp/228.1.1.144:8002

其他频道,#genre#
BRTV体育休闲,http://117.133.95.38:8887/rtp/228.1.1.117:8000
BRTV国际频道,http://117.133.95.38:8887/rtp/228.1.1.111:8000
BRTV影视,http://117.133.95.38:8887/rtp/228.1.1.190:8000
BRTV文艺,http://117.133.95.38:8887/rtp/228.1.1.116:8000
BRTV新闻,http://117.133.95.38:8887/rtp/228.1.1.189:8000
BRTV生活,http://117.133.95.38:8887/rtp/228.1.1.198:8000
BRTV纪实科教,http://117.133.95.38:8887/rtp/228.1.1.196:8000
BRTV财经,http://117.133.95.38:8887/rtp/228.1.1.197:8000
中国交通,http://117.133.95.38:8887/rtp/228.1.1.222:8002
房山电视台,http://117.133.95.38:8887/rtp/228.1.1.139:8001
朝阳融媒,http://117.133.95.38:8887/rtp/228.1.1.140:8001
淘Baby,http://117.133.95.38:8887/rtp/228.1.1.128:8001
淘剧场,http://117.133.95.38:8887/rtp/228.1.1.126:8001
淘娱乐,http://117.133.95.38:8887/rtp/228.1.1.133:8001
淘电影,http://117.133.95.38:8887/rtp/228.1.1.124:8001
淘精彩,http://117.133.95.38:8887/rtp/228.1.1.202:8002
爱上4K,http://117.133.95.38:8887/rtp/228.1.1.38:2000
睛彩广场舞,http://117.133.95.38:8887/rtp/228.1.1.226:8002
睛彩竞技,http://117.133.95.38:8887/rtp/228.1.1.223:8002
睛彩篮球,http://117.133.95.38:8887/rtp/228.1.1.224:8002
睛彩羽毛球,http://117.133.95.38:8887/rtp/228.1.1.225:8002
纪实人文,http://117.133.95.38:8887/rtp/228.1.1.20:8060
萌宠TV,http://117.133.95.38:8887/rtp/228.1.1.135:8002
金鹰纪实,http://117.133.95.38:8887/rtp/228.1.1.34:8156

更新时间,#genre#
2024-03-22_06:52:27,https://taoiptv.com/time.mp4
