央视频道,#genre#
CCTV1,http://118.114.97.200:888/rtp/239.93.0.58:5140
CCTV3,http://118.114.97.200:888/rtp/239.93.0.109:5140
CCTV4,http://118.114.97.200:888/rtp/239.93.1.105:5140
CCTV5,http://118.114.97.200:888/rtp/239.93.42.37:5140
CCTV6,http://118.114.97.200:888/rtp/239.93.42.38:5140
CCTV9,http://118.114.97.200:888/rtp/239.93.1.24:5140
CCTV10,http://118.114.97.200:888/rtp/239.93.1.28:5140
CCTV11,http://118.114.97.200:888/rtp/239.93.0.102:5140
CCTV12,http://118.114.97.200:888/rtp/239.93.1.30:8124
CCTV13,http://118.114.97.200:888/rtp/239.93.0.66:5140
CCTV14,http://118.114.97.200:888/rtp/239.93.1.29:6000
CCTV17,http://118.114.97.200:888/rtp/239.93.0.92:5140
CCTV风云音乐,http://118.114.97.200:888/rtp/239.93.0.224:5140
CCTV世界地理,http://118.114.97.200:888/rtp/239.93.1.157:5140
CCTV第一剧场,http://118.114.97.200:888/rtp/239.93.1.197:5140
CCTV兵器科技,http://118.114.97.200:888/rtp/239.93.1.235:5140
CCTV风云足球,http://118.114.97.200:888/rtp/239.93.0.235:5140
CCTV高网频道,http://118.114.97.200:888/rtp/239.93.1.54:5140
CCTV女性时尚,http://118.114.97.200:888/rtp/239.93.42.62:5140
CCTV风云足球,http://118.114.97.200:888/rtp/239.93.0.235:5140

卫视频道,#genre#
湖南卫视,http://118.114.97.200:888/rtp/239.93.0.88:5140
浙江卫视,http://118.114.97.200:888/rtp/239.93.0.124:5140
江苏卫视,http://118.114.97.200:888/rtp/239.93.0.89:5140
北京卫视,http://118.114.97.200:888/rtp/239.93.0.180:5140
东方卫视,http://118.114.97.200:888/rtp/239.93.0.123:5140
安徽卫视,http://118.114.97.200:888/rtp/239.93.1.106:5140
广东卫视,http://118.114.97.200:888/rtp/239.93.0.181:5140
深圳卫视,http://118.114.97.200:888/rtp/239.93.0.182:5140
山东卫视,http://118.114.97.200:888/rtp/239.93.0.168:5140
重庆卫视,http://118.114.97.200:888/rtp/239.93.1.107:5140
甘肃卫视,http://118.114.97.200:888/rtp/239.93.0.81:5140
广西卫视,http://118.114.97.200:888/rtp/239.93.42.46:5140
黑龙江卫视,http://118.114.97.200:888/rtp/239.93.0.183:5140
河南卫视,http://118.114.97.200:888/rtp/239.93.42.45:5140
湖北卫视,http://118.114.97.200:888/rtp/239.93.0.250:5140
江西卫视,http://118.114.97.200:888/rtp/239.93.0.134:5140
吉林卫视,http://118.114.97.200:888/rtp/239.93.0.248:5140
四川卫视,http://118.114.97.200:888/rtp/239.93.0.20:1235
康巴卫视,http://118.114.97.200:888/rtp/239.93.0.41:5140

国教频道,#genre#
中国教育1,http://118.114.97.200:888/rtp/239.93.1.111:5140
CGTN,http://118.114.97.200:888/rtp/239.93.0.104:5140
CGTN法语,http://118.114.97.200:888/rtp/239.93.42.50:5140
CGTN西语,http://118.114.97.200:888/rtp/239.93.42.49:5140

数字频道,#genre#
电竞天堂,http://118.114.97.200:888/rtp/239.93.1.135:5140
欢笑剧场,http://118.114.97.200:888/rtp/239.93.0.145:5140
天元围棋,http://118.114.97.200:888/rtp/239.93.42.55:5140
早期教育,http://118.114.97.200:888/rtp/239.93.0.117:5140
茶频道,http://118.114.97.200:888/rtp/239.93.0.114:5140
快乐垂钓,http://118.114.97.200:888/rtp/239.93.1.151:5140

电影频道,#genre#
CHC家庭影院,http://118.114.97.200:888/rtp/239.93.42.6:5140
CHC动作电影,http://118.114.97.200:888/rtp/239.93.42.7:5140
华语影院,http://118.114.97.200:888/rtp/239.93.42.86:5140

其他频道,#genre#
4K乐享专区,http://118.114.97.200:888/rtp/239.93.0.43:5140
920,http://118.114.97.200:888/rtp/239.93.1.130:5140
921,http://118.114.97.200:888/rtp/239.93.1.131:5140
923,http://118.114.97.200:888/rtp/239.93.1.133:5140
925,http://118.114.97.200:888/rtp/239.93.1.123:5140
926,http://118.114.97.200:888/rtp/239.93.1.124:5140
927,http://118.114.97.200:888/rtp/239.93.1.125:5140
CDTV-1,http://118.114.97.200:888/rtp/239.93.0.16:5140
CDTV-4,http://118.114.97.200:888/rtp/239.93.0.19:1250
CDTV-5,http://118.114.97.200:888/rtp/239.93.1.231:5140
CDTV-8,http://118.114.97.200:888/rtp/239.93.0.22:1252
CHC电影,http://118.114.97.200:888/rtp/239.93.42.5:5140
i成都,http://118.114.97.200:888/rtp/239.93.1.104:1234
SCTV-2,http://118.114.97.200:888/rtp/239.93.1.101:5140
SCTV-3,http://118.114.97.200:888/rtp/239.93.1.102:5140
SCTV-4,http://118.114.97.200:888/rtp/239.93.0.47:5140
SCTV-6,http://118.114.97.200:888/rtp/239.93.1.144:5140
SCTV-7,http://118.114.97.200:888/rtp/239.93.0.219:5140
上海纪实,http://118.114.97.200:888/rtp/239.93.1.137:5140
东方财经,http://118.114.97.200:888/rtp/239.93.1.165:5140
中国交通,http://118.114.97.200:888/rtp/239.93.0.142:5140
中录动漫4K专区,http://118.114.97.200:888/rtp/239.93.1.188:5140
乐游,http://118.114.97.200:888/rtp/239.93.42.94:5140
云演艺宣传,http://118.114.97.200:888/rtp/239.93.42.60:5140
亲子趣学4k专区,http://118.114.97.200:888/rtp/239.93.1.191:5140
全球大片专区,http://118.114.97.200:888/rtp/239.93.42.90:5140
