央视频道,#genre#
CCTV1,http://106.57.0.179:55555/rtp/239.200.201.135:8880
CCTV1,http://106.57.1.95:55555/rtp/239.200.201.135:8880
CCTV4,http://106.57.0.179:55555/rtp/239.200.200.128:8652
CCTV5,http://106.57.0.179:55555/rtp/239.200.201.5:4120
CCTV6,http://106.57.0.179:55555/rtp/239.200.200.21:9020
CCTV8,http://106.57.1.95:55555/rtp/239.200.200.23:9028
CCTV12,http://106.57.0.179:55555/rtp/239.200.200.108:8124
CCTV12,http://106.57.1.95:55555/rtp/239.200.200.108:8124
CCTV14,http://106.57.0.179:55555/rtp/239.200.200.109:8132
CCTV14,http://106.57.1.95:55555/rtp/239.200.200.109:8132
CCTV世界地理,http://106.57.1.95:55555/rtp/239.200.200.130:8012
CCTV怀旧剧场,http://106.57.1.95:55555/rtp/239.200.200.85:8032

卫视频道,#genre#
浙江卫视,http://106.57.0.179:55555/rtp/239.200.200.141:8724
浙江卫视,http://106.57.1.95:55555/rtp/239.200.200.141:8724
江苏卫视,http://106.57.1.95:55555/rtp/239.200.200.7:8028
安徽卫视,http://106.57.0.179:55555/rtp/239.200.200.129:8720
辽宁卫视,http://106.57.0.179:55555/rtp/239.200.200.167:8736
辽宁卫视,http://106.57.1.95:55555/rtp/239.200.200.167:8736
江西卫视,http://106.57.1.95:55555/rtp/239.200.201.79:8876
吉林卫视,http://106.57.0.179:55555/rtp/239.200.201.127:8792
金鹰卡通,http://106.57.1.95:55555/rtp/239.200.200.65:8328

影视频道,#genre#
云南影视,http://106.57.0.179:55555/rtp/239.200.200.15:8856
云南影视,http://106.57.1.95:55555/rtp/239.200.200.15:8856

国教频道,#genre#
中国教育1,http://106.57.1.95:55555/rtp/239.200.201.49:8756

数字频道,#genre#
武术世界,http://106.57.0.179:55555/rtp/239.200.200.90:8064
武术世界,http://106.57.1.95:55555/rtp/239.200.200.90:8064

电影频道,#genre#
CHC动作电影,http://106.57.0.179:55555/rtp/239.200.201.31:8144
CHC动作电影,http://106.57.1.95:55555/rtp/239.200.201.31:8144

其他频道,#genre#
云南康旅,http://106.57.1.95:55555/rtp/239.200.200.31:8860
楚雄综合,http://106.57.0.179:55555/rtp/239.200.200.116:8708
楚雄综合,http://106.57.1.95:55555/rtp/239.200.200.116:8708

更新时间,#genre#
2024-03-21_08:00:27,https://taoiptv.com/time.mp4
